time,goal_x,goal_y,x,y,er_x,er_y
51.333,-3.888659653754778,-1.8308821635767787,-4.019019643288308,-1.3294329931112694,-3.7582996642212483,-2.332331334042288
51.583,-3.889081439696552,-1.8289487081910625,-4.019014418939698,-1.329429940440292,-3.7591484604534053,-2.328467475941833
51.833,-3.889798321400968,-1.826033649890008,-4.019009821978859,-1.32942725372502,-3.760586820823077,-2.322640046054996
52.083,-3.889125301638696,-1.8284591691068939,-4.019004595117032,-1.3294241981365287,-3.75924600816036,-2.327494140077259
52.333,-3.8890885504202877,-1.8284406435770437,-4.018999995944759,-1.329421508853317,-3.7591771048958167,-2.32745977830077
52.583,-3.889516392311412,-1.8264876079392818,-4.018994766568443,-1.3294184503441178,-3.760038018054382,-2.3235567655344456
52.833,-3.88815893422023,-1.8315383022743363,-4.018990165183619,-1.3294157584901558,-3.75732770325684,-2.3336608460585166
53.083,-3.8896739734561447,-1.8255633777213807,-4.018984933291548,-1.3294126970570537,-3.7603630136207418,-2.321714058385708
53.333,-3.8885668116304233,-1.8296513154596465,-4.018980329693057,-1.3294100026295308,-3.7581532935677897,-2.3298926282897625
53.583,-3.888974850068227,-1.8277758352893865,-4.018975095283955,-1.329406938269326,-3.758974604852499,-2.326144732309447
53.833,-3.889592812634667,-1.8252479873420904,-4.018970489469727,-1.3294042412647642,-3.7602151357996068,-2.3210917334194163
54.083,-3.8885168574519016,-1.8292102676892021,-4.018965252537507,-1.32940117397073,-3.758068462366296,-2.329019361407674
54.333,-3.889042783198402,-1.827035884539507,-4.018960644498508,-1.3293984743809364,-3.7591249218982963,-2.3246732946980773
54.583,-3.8876607580948823,-1.8323309147724554,-4.01895540503614,-1.3293954041464084,-3.756366111153625,-2.335266425398502
54.833,-3.8874556093415453,-1.8329556666433817,-4.018950794772651,-1.3293927019694984,-3.7559604239104405,-2.336518631317265
55.083,-3.8877179310078875,-1.8317889531738705,-4.018945552780945,-1.329389628792452,-3.75649030923483,-2.334188277555289
55.333,-3.888100304952606,-1.8301647630549163,-4.018940940291839,-1.329386924025591,-3.757259669613373,-2.3309426020842414
55.583,-3.8878491967670383,-1.8308136196639873,-4.018935695769522,-1.3293838479027926,-3.7567626977645543,-2.332243391425182
55.833,-3.8879675502410436,-1.830200587770833,-4.018931081053671,-1.329381140543137,-3.757004019428417,-2.331020034998529
56.083,-3.887293891960602,-1.8326143437635554,-4.018925833999455,-1.3293780614713577,-3.7556619499217487,-2.335850626055753
56.333,-3.88763720986313,-1.831141257087876,-4.018921217055731,-1.3293753515160598,-3.7563532026705286,-2.332907162659692
56.583,-3.8873290877052,-1.8320059909214028,-4.018915967468336,-1.3293722694920642,-3.7557422079420633,-2.3346397123507416
56.833,-3.886518593897462,-1.8349402588704744,-4.018911348295613,-1.3293695569382777,-3.754125839499311,-2.3405109608026713
57.083,-3.8875253915251986,-1.8309336872397193,-4.018906096173688,-1.3293664719610787,-3.756144686876709,-2.33250090251836
57.333,-3.8884171048134677,-1.8273699485373958,-4.018901474766142,-1.329363756824567,-3.757932734860794,-2.3253761402502247
57.583,-3.8869254933269737,-1.8327494524461725,-4.018896220094472,-1.329360668929715,-3.754954766559475,-2.33613823596263
57.833,-3.887378330140852,-1.8308616619754745,-4.018891596440298,-1.329357951227981,-3.755865063841406,-2.3323653727229683
58.083,-3.8870810390604813,-1.8318331708780344,-4.018886339214097,-1.3293548604155123,-3.755275738906865,-2.3343114813405563
58.333,-3.8874663742238873,-1.8302038736644293,-4.018881713312125,-1.3293521401457529,-3.7560510351356493,-2.3310556071831057
58.583,-3.886187506079131,-1.8347634120346297,-4.01887645353008,-1.329349046412479,-3.7534985586281824,-2.3401777776567805
58.833,-3.8870261719927095,-1.8314082768545203,-4.01887182537915,-1.3293463235718843,-3.755180518606269,-2.3334702301371566
59.083,-3.8864930331499936,-1.8332758759116816,-4.0188665630399445,-1.3293432269146144,-3.7541195032600423,-2.337208524908749
59.333,-3.886743177557781,-1.8321627531610765,-4.018861932638906,-1.3293405015003763,-3.7546244224766556,-2.3349850048217764
59.583,-3.886667985364876,-1.832135963557698,-4.018856667741222,-1.329337401915914,-3.75447930298853,-2.3349345251994817
59.833,-3.8870222091265667,-1.8306282021682665,-4.01885203508891,-1.3293346739252208,-3.755192383164223,-2.3319217304113122
